ticker,origem,grupo,setor,investment,investment_base,consistencia,quality,value,safety,dividend,rank_invest,oportunidade_grafica,criterios_ok,criterios_aplicaveis,passa_checklist,mais_5a_bolsa,sem_prejuizo_anual,lucro_20t,div_ge5_5a,roe_ge_10,divida_menor_patrim,cresc_receita_5a,cresc_lucro_5a,n_ok,n_aplic,roe_roic_ge_selic,roe_ge_setor,roic_ge_setor,margem_ge_15,cagr_ge_setor,divida_ok,marketcap_ok,insider_ok,alavancagem_ok,div_liq_patrim,nde_ok,market_cap,pl,pvp,dy,dy_teto,roe,roic,mrg_liq,div_liq_ebitda,liq_corr,div_patrim,peg,close,teto_bazin,teto_gordon,teto_dcf,teto_graham,teto_lynch,teto_medio,teto_mediana,teto_ajustado,teto_n_metodos,teto_upside_pct,teto_upside_media_pct,prox_resultado,ex_dividendo,ex_tipo,tese_ia,strategy,trend,breakout_level,pct_to_level,dist_52w_high_pct,fund_ok,breakout,aprovado,note
POSI3,SMALL11,SMALL11,Technology,39.62,37.79,50.0,21.96,45.89,50.65,63.09,107,Não,0,7,False,,True,,False,False,True,True,False,3,6,False,False,False,False,False,,False,False,True,,True,481878176.0,49.91,0.32,5.19,6.88,0.63,6.91,0.29,,1.69,0.83,13.86,3.4800000190734863,1.71,2.39,0.69,4.13,0.73,1.93,1.71,1.54,5.0,-55.75,-44.52,n/d,n/d,,,,Em Baixa,3.880000114440918,-10.309280504365892,-27.500002483526764,False,False,False,sem sinal (Em Baixa; sem novo topo (-10.3%))
ASAI3,BOVA11+SMALL11,BOVA11,Consumer Defensive,39.51,37.66,50.0,53.31,42.82,9.78,10.07,108,Não,5,7,False,,True,,False,True,False,True,False,3,6,True,True,True,False,True,,True,False,True,,True,11362856960.0,17.07,2.03,1.18,0.83,11.89,19.66,0.9,,1.1,4.6,1.67,8.489999771118164,0.5,0.93,6.59,6.84,5.49,6.31,6.59,5.93,3.0,-30.14,-25.72,n/d,n/d,,,,Lateral,8.829999923706055,-3.8505113876058594,-20.039182358548967,False,False,False,sem sinal (Lateral; sem novo topo (-3.9%))
CASH3,SMALL11,SMALL11,Communication Services,39.32,40.38,33.333333333333336,1.33,84.62,91.79,2.68,109,Rompimento,1,7,False,,False,,False,False,True,True,False,2,6,False,False,False,False,True,,False,False,True,,True,526850272.0,-5.16,1.21,0.0,0.0,-23.45,-16.62,-14.83,,2.68,0.0,-0.29,4.650000095367432,,,,,,,,,0.0,,,n/d,n/d,,,Rompimento,Lateral,4.599999904632568,1.0869606906841245,-24.999996154538927,False,True,False,"Rompimento (vol x1.8, +1.1% do topo, MM50>MM200)"
RENT3,BOVA11,BOVA11,Industrials,39.32,37.43,50.0,49.05,29.69,21.91,35.57,110,Não,2,7,False,,True,,False,False,False,True,True,3,6,False,False,True,False,False,,True,False,True,,True,42152103936.0,19.55,1.68,5.23,3.46,8.57,12.41,5.13,,1.23,1.66,7.03,38.15999984741211,9.42,12.08,17.88,31.58,12.17,12.89,12.13,10.91,4.0,-71.4,-66.23,n/d,n/d,,,,Em Baixa,39.20000076293945,-2.653063508382847,-27.573100637191285,False,False,False,sem sinal (Em Baixa; sem novo topo (-2.7%))
NATU3,BOVA11+SMALL11,BOVA11,Consumer Defensive,38.5,41.76,20.0,24.59,74.75,58.7,2.68,111,Não,1,7,False,,False,,,False,True,False,False,1,5,False,False,False,False,False,,True,False,True,,True,11241238528.0,-4.9,0.92,0.0,0.0,-18.67,11.65,-10.7,,1.65,0.55,,8.180000305175781,,,,,,,,,0.0,,,n/d,n/d,,,,Lateral,8.710000038146973,-6.084956723880186,-26.63676605350396,False,False,False,sem sinal (Lateral; sem novo topo (-6.1%))
ENGI11,BOVA11,BOVA11,Utilities,37.79,38.57,33.333333333333336,41.77,33.73,30.55,52.35,112,Não,2,7,False,,True,,False,False,False,False,True,2,6,False,False,False,False,False,,True,True,True,,True,15148756992.0,13.29,1.29,3.08,5.5,9.69,9.62,5.29,,1.75,2.23,5.09,49.459999084472656,19.43,24.5,33.52,56.66,30.17,32.86,30.17,27.16,5.0,-45.1,-33.57,n/d,n/d,,,,Em Alta,50.33000183105469,-1.7285966916957718,-16.523208296248683,False,False,False,sem sinal (Em Alta; sem novo topo (-1.7%))
SOJA3,SMALL11,SMALL11,Basic Materials,37.73,38.5,33.333333333333336,19.82,48.13,67.95,39.6,113,Não,2,7,False,,True,,False,False,False,True,False,2,6,False,False,False,False,True,,True,False,True,,True,765966144.0,31.59,0.58,5.16,3.84,1.84,5.12,0.95,,4.6,1.23,0.02,5.429999828338623,1.49,2.76,2.28,6.02,5.16,3.54,2.76,2.49,5.0,-54.18,-34.79,n/d,n/d,,,,Em Baixa,6.039999961853027,-10.099340022632397,-48.06696606757298,False,False,False,sem sinal (Em Baixa; sem novo topo (-10.1%))
SLCE3,BOVA11+SMALL11,BOVA11,Consumer Defensive,37.68,41.39,16.666666666666668,37.66,34.75,46.88,63.76,114,Não,1,7,False,,True,,False,False,False,False,False,1,6,False,False,False,False,False,,True,False,True,,True,6556272640.0,20.8,1.27,5.96,7.05,6.1,9.78,3.82,,2.2,1.77,,13.210000038146973,6.65,9.68,6.61,12.19,,8.78,8.17,7.35,4.0,-44.35,-33.51,n/d,n/d,,,,Em Alta,13.960000038146973,-5.372492821995389,-32.186856526843385,False,False,False,sem sinal (Em Alta; sem novo topo (-5.4%))
AUAU3,SMALL11,SMALL11,Consumer Cyclical,37.5,38.24,33.333333333333336,18.02,81.89,42.92,10.74,115,Não,1,7,False,,,,,False,True,False,,1,3,False,False,False,False,False,,True,False,True,,True,3073033728.0,0.0,1.01,0.84,0.92,0.0,0.0,3.33,,1.19,0.74,,3.569999933242798,0.23,0.34,,,,0.29,0.29,0.26,2.0,-92.74,-91.93,n/d,n/d,,,,Em Alta,3.680000066757202,-2.989134008666905,-11.49219382322817,False,False,False,sem sinal (Em Alta; sem novo topo (-3.0%))
TIMS3,BOVA11,BOVA11,Communication Services,37.1,31.88,66.66666666666667,32.47,8.17,38.86,74.5,116,Não,3,7,False,,True,,False,False,True,True,True,4,6,False,False,False,True,True,,True,False,True,,True,45145833472.0,3275.69,1.79,7.85,8.95,0.05,0.76,15.78,,0.85,0.66,1310.28,18.899999618530273,12.08,15.07,0.05,1.17,0.07,5.69,1.17,1.05,5.0,-94.42,-69.91,n/d,n/d,,,,Em Baixa,22.670000076293945,-16.629909329845873,-33.332469509432435,False,False,False,sem sinal (Em Baixa; sem novo topo (-16.6%))
